STUDIENR,KURSKODE,KURSTXT,BEDOMMELSE,SKALA,ECTS,UDPROVNING,CENSUR,SEMESTER,SEMESTER_START,SEMESTER_END,DURATION_DAYS,ATTEMPT
STNR002363,62577,DATAKOMMUNIKATION,10,7-trinsskala,5,Afløsningsopgave,ekstern censur,Spring 2017,2017-02-01,2017-05-03,91,1
STNR002363,2326,ALGORITMER OG DATASTRUKTURER,4,7-trinsskala,5,Skriftlig,ekstern censur,"Spring 2017, Spring 2018",2017-02-01,2017-08-02,182,2
STNR002363,2323,INTRODUKTION TIL STATISTIK,7,7-trinsskala,5,Skriftlig,ekstern censur,Fall 2017,2017-08-01,2017-10-31,91,1
STNR002363,2368,OBJEKTORIENTERET ANALYSE OG DESIGN,12,7-trinsskala,5,Skriftlig,ekstern censur,Fall 2017,2017-08-01,2017-10-31,91,1
STNR002363,1920,BASISMAT 2 - VIDEREGAENDE MATEMATIK FOR DIPLOMINGENIORER,7,7-trinsskala,5,Skriftlig,intern censur,Spring 2018,2018-02-01,2018-05-03,91,1
STNR002363,2347,PARALLELLE SYSTEMER,7,7-trinsskala,5,Afløsningsopgave,ekstern censur,Spring 2018,2018-02-01,2018-05-03,91,1
STNR002363,62410,CDIO-PROJEKT,10,7-trinsskala,10,Mundtlig,intern censur,Spring 2018,2018-02-01,2018-05-03,91,1
STNR002363,62550,BRUGERINTERAKTION OG UDVIKLING PA MOBILE ENHEDER,10,7-trinsskala,10,Skriftlig,ekstern censur,Fall 2018,2018-08-01,2018-10-31,91,1
STNR002363,62588,OPERATIVSYSTEMER,7,7-trinsskala,5,Skriftlig,ekstern censur,Fall 2018,2018-08-01,2018-10-31,91,1
STNR002363,42435,VIRKSOMHEDSSTART,10,7-trinsskala,5,Skriftlig,ekstern censur,"Fall 2018, Fall 2019",2018-08-01,2019-01-30,182,2
STNR002363,2443,STOKASTISK SIMULATION,EM,bestået/ikke bestået,5,Afløsningsopgave,intern censur,Spring 2019,2019-02-01,2019-05-03,91,1
STNR002363,62417,MOBIL APPLIKATIONSUDVIKLING MED SWIFT,7,7-trinsskala,5,Mundtlig,intern censur,Spring 2019,2019-02-01,2019-05-03,91,1
STNR002363,62501,LINUX SERVER OG NETVAERK,7,7-trinsskala,5,Skriftlig,intern censur,Spring 2019,2019-02-01,2019-05-03,91,1
STNR002363,62596,DISTRIBUEREDE SYSTEMER,4,7-trinsskala,5,Skriftlig,intern censur,Spring 2019,2019-02-01,2019-05-03,91,1
STNR002363,42415,TEKNISK OKONOMI,EM,7-trinsskala,5,Skriftlig,intern censur,Fall 2019,2019-08-01,2019-10-31,91,1
STNR002363,62999,INNOVATION PILOT,EM,7-trinsskala,10,Afløsningsopgave,intern censur,Fall 2019,2019-08-01,2019-10-31,91,1
STNR003201,1005,MATEMATIK 1,7,7-trinsskala,20,Skriftlig,ekstern censur,Spring 2019,2019-02-01,2019-05-03,91,1
STNR003201,2403,INTRODUKTION TIL MATEMATISK STATISTIK,2,7-trinsskala,5,Skriftlig,ekstern censur,Spring 2019,2019-02-01,2019-05-03,91,1
STNR003201,2313,UDVIKLINGSMETODER TIL IT-SYSTEMER,12,7-trinsskala,5,Skriftlig,ekstern censur,Fall 2019,2019-08-01,2019-10-31,91,1
STNR003201,2315,VERSIONSSTYRING OG TESTMETODER,10,7-trinsskala,5,Afløsningsopgave,ekstern censur,Fall 2019,2019-08-01,2019-10-31,91,1
STNR003201,2322,MASKINNAER PROGRAMMERING,10,7-trinsskala,5,Skriftlig,intern censur,Spring 2020,2020-02-01,2020-05-02,91,1
STNR003201,2324,VIDEREGAENDE PROGRAMMERING,10,7-trinsskala,10,Skriftlig,ekstern censur,Spring 2020,2020-02-01,2020-05-02,91,1
STNR003201,2326,ALGORITMER OG DATASTRUKTURER,4,7-trinsskala,5,Skriftlig,ekstern censur,Spring 2020,2020-02-01,2020-05-02,91,1
STNR003201,2327,INDLEDENDE DATABASER OG DATABASEPROGRAMMERING,7,7-trinsskala,5,Afløsningsopgave,intern censur,Spring 2020,2020-02-01,2020-05-02,91,1
STNR003201,62577,DATAKOMMUNIKATION,12,7-trinsskala,5,Afløsningsopgave,ekstern censur,Spring 2020,2020-02-01,2020-05-02,91,1
